Scenario,TrainRatio,Threshold,K,CvK,Metric,MetricLabel,MetricFamily,FoodwebGroups,RetainedFoodwebGroups,TotalRunUnits,ValidRunsBeforeTukey,OutlierRunsExcluded,RetainedRunsAfterTukey
tau1p00_checkconnfalse,60,0.5,10,0,PseudoMeanTrophicHeight,Pseudo average trophic height,pseudo_ecological,290,289,14500,13715,1058,12657
tau1p00_checkconnfalse,60,0.5,10,0,PseudoMeanVulnerability,Pseudo mean vulnerability,pseudo_ecological,290,290,14500,14500,271,14229
tau1p00_checkconnfalse,60,0.5,10,0,ROC_AUC,ROC-AUC,predictive,290,290,14500,14500,338,14162
tau1p00_checkconnfalse,60,0.5,10,0,Recall,Recall,predictive,290,290,14500,14500,236,14264
tau1p00_checkconnfalse,60,0.5,10,0,TestMCC,MCC,predictive,290,290,14500,14500,266,14234
tau1p00_checkconnfalse,60,0.5,10,0,TestTPR,TPR,predictive,290,290,14500,14500,236,14264
tau1p00_checkconnfalse,60,0.5,10,0,TestTSS,TSS,predictive,290,290,14500,14500,246,14254
tau1p00_checkconnfalse,60,0.5,10,0,TrainConnectance,Training-graph connectance,train_ecological,290,290,14500,14500,0,14500
tau1p00_checkconnfalse,60,0.5,10,0,TrainMeanGenerality,Training-graph mean generality,train_ecological,290,290,14500,14500,381,14119
tau1p00_checkconnfalse,60,0.5,10,0,TrainMeanTrophicHeight,Training-graph average trophic height,train_ecological,290,290,14500,14500,172,14328
tau1p00_checkconnfalse,60,0.5,10,0,TrainMeanVulnerability,Training-graph mean vulnerability,train_ecological,290,290,14500,14500,476,14024
tau1p00_checkconnfalse,70,0.5,10,0,F1Score,F1,predictive,290,290,14500,14500,260,14240
tau1p00_checkconnfalse,70,0.5,10,0,PR_AUC,PR-AUC,predictive,290,290,14500,14500,234,14266
tau1p00_checkconnfalse,70,0.5,10,0,Precision,Precision,predictive,290,290,14500,14500,351,14149
tau1p00_checkconnfalse,70,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,290,290,14500,14500,252,14248
tau1p00_checkconnfalse,70,0.5,10,0,PseudoMeanGenerality,Pseudo mean generality,pseudo_ecological,290,290,14500,14500,337,14163
tau1p00_checkconnfalse,70,0.5,10,0,PseudoMeanTrophicHeight,Pseudo average trophic height,pseudo_ecological,290,290,14500,13875,1108,12767
tau1p00_checkconnfalse,70,0.5,10,0,PseudoMeanVulnerability,Pseudo mean vulnerability,pseudo_ecological,290,290,14500,14500,285,14215
tau1p00_checkconnfalse,70,0.5,10,0,ROC_AUC,ROC-AUC,predictive,290,290,14500,14500,385,14115
tau1p00_checkconnfalse,70,0.5,10,0,Recall,Recall,predictive,290,290,14500,14500,231,14269
tau1p00_checkconnfalse,70,0.5,10,0,TestMCC,MCC,predictive,290,290,14500,14500,243,14257
tau1p00_checkconnfalse,70,0.5,10,0,TestTPR,TPR,predictive,290,290,14500,14500,231,14269
tau1p00_checkconnfalse,70,0.5,10,0,TestTSS,TSS,predictive,290,290,14500,14500,203,14297
tau1p00_checkconnfalse,70,0.5,10,0,TrainConnectance,Training-graph connectance,train_ecological,290,290,14500,14500,0,14500
tau1p00_checkconnfalse,70,0.5,10,0,TrainMeanGenerality,Training-graph mean generality,train_ecological,290,290,14500,14500,374,14126
tau1p00_checkconnfalse,70,0.5,10,0,TrainMeanTrophicHeight,Training-graph average trophic height,train_ecological,290,290,14500,14500,138,14362
tau1p00_checkconnfalse,70,0.5,10,0,TrainMeanVulnerability,Training-graph mean vulnerability,train_ecological,290,290,14500,14500,483,14017
tau1p00_checkconnfalse,80,0.5,10,0,F1Score,F1,predictive,290,290,14500,14500,288,14212
tau1p00_checkconnfalse,80,0.5,10,0,PR_AUC,PR-AUC,predictive,290,290,14500,14500,235,14265
tau1p00_checkconnfalse,80,0.5,10,0,Precision,Precision,predictive,290,290,14500,14500,420,14080
tau1p00_checkconnfalse,80,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,290,290,14500,14500,294,14206
tau1p00_checkconnfalse,80,0.5,10,0,PseudoMeanGenerality,Pseudo mean generality,pseudo_ecological,290,290,14500,14500,334,14166
tau1p00_checkconnfalse,80,0.5,10,0,PseudoMeanTrophicHeight,Pseudo average trophic height,pseudo_ecological,290,290,14500,14125,1347,12778
tau1p00_checkconnfalse,80,0.5,10,0,PseudoMeanVulnerability,Pseudo mean vulnerability,pseudo_ecological,290,290,14500,14500,264,14236
tau1p00_checkconnfalse,80,0.5,10,0,ROC_AUC,ROC-AUC,predictive,290,290,14500,14500,368,14132
tau1p00_checkconnfalse,80,0.5,10,0,Recall,Recall,predictive,290,290,14500,14500,276,14224
tau1p00_checkconnfalse,80,0.5,10,0,TestMCC,MCC,predictive,290,290,14500,14500,269,14231
tau1p00_checkconnfalse,80,0.5,10,0,TestTPR,TPR,predictive,290,290,14500,14500,276,14224
tau1p00_checkconnfalse,80,0.5,10,0,TestTSS,TSS,predictive,290,290,14500,14500,238,14262
tau1p00_checkconnfalse,80,0.5,10,0,TrainConnectance,Training-graph connectance,train_ecological,290,290,14500,14500,0,14500
tau1p00_checkconnfalse,80,0.5,10,0,TrainMeanGenerality,Training-graph mean generality,train_ecological,290,290,14500,14500,367,14133
tau1p00_checkconnfalse,80,0.5,10,0,TrainMeanTrophicHeight,Training-graph average trophic height,train_ecological,290,290,14500,14500,346,14154
tau1p00_checkconnfalse,80,0.5,10,0,TrainMeanVulnerability,Training-graph mean vulnerability,train_ecological,290,290,14500,14500,474,14026
tau1p00_checkconnfalse,90,0.5,10,0,F1Score,F1,predictive,290,290,14500,14500,322,14178
tau1p00_checkconnfalse,90,0.5,10,0,PR_AUC,PR-AUC,predictive,290,290,14500,14500,261,14239
tau1p00_checkconnfalse,90,0.5,10,0,Precision,Precision,predictive,290,290,14500,14500,790,13710
tau1p00_checkconnfalse,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,290,290,14500,14500,341,14159
tau1p00_checkconnfalse,90,0.5,10,0,PseudoMeanGenerality,Pseudo mean generality,pseudo_ecological,290,290,14500,14500,680,13820
tau1p00_checkconnfalse,90,0.5,10,0,PseudoMeanTrophicHeight,Pseudo average trophic height,pseudo_ecological,290,290,14500,14267,2421,11846
tau1p00_checkconnfalse,90,0.5,10,0,PseudoMeanVulnerability,Pseudo mean vulnerability,pseudo_ecological,290,290,14500,14500,431,14069
tau1p00_checkconnfalse,90,0.5,10,0,ROC_AUC,ROC-AUC,predictive,290,290,14500,14500,454,14046
tau1p00_checkconnfalse,90,0.5,10,0,Recall,Recall,predictive,290,290,14500,14500,281,14219
tau1p00_checkconnfalse,90,0.5,10,0,TestMCC,MCC,predictive,290,290,14500,14500,327,14173
tau1p00_checkconnfalse,90,0.5,10,0,TestTPR,TPR,predictive,290,290,14500,14500,281,14219
tau1p00_checkconnfalse,90,0.5,10,0,TestTSS,TSS,predictive,290,290,14500,14500,230,14270
tau1p00_checkconnfalse,90,0.5,10,0,TrainConnectance,Training-graph connectance,train_ecological,290,290,14500,14500,0,14500
tau1p00_checkconnfalse,90,0.5,10,0,TrainMeanGenerality,Training-graph mean generality,train_ecological,290,290,14500,14500,772,13728
tau1p00_checkconnfalse,90,0.5,10,0,TrainMeanTrophicHeight,Training-graph average trophic height,train_ecological,290,290,14500,14500,1213,13287
tau1p00_checkconnfalse,90,0.5,10,0,TrainMeanVulnerability,Training-graph mean vulnerability,train_ecological,290,290,14500,14500,667,13833
