|====================================================================================|
|    Iteration   |      AUC       |  Time Elapsed  |Encoded subgraph|   Train ratio  |
|                |                |   (hh:mm:ss)   |      (K)       |       %        |
|====================================================================================|
|             46 |         0.8015 |       00:00:01 |             11 |            90% |
|             47 |         0.5851 |       00:00:01 |             11 |            90% |
|             48 |         0.2448 |       00:00:01 |             11 |            90% |
|             49 |         0.5644 |       00:00:01 |             11 |            90% |
|             50 |         0.0026 |       00:00:01 |             11 |            90% |
|              1 |         0.5541 |       00:00:01 |             12 |            90% |
|              2 |         0.8222 |       00:00:01 |             12 |            90% |
|              3 |         0.3686 |       00:00:01 |             12 |            90% |
|              4 |         0.9381 |       00:00:01 |             12 |            90% |
|              5 |         0.1598 |       00:00:01 |             12 |            90% |
|              6 |         0.5670 |       00:00:01 |             12 |            90% |
|              7 |         0.7809 |       00:00:01 |             12 |            90% |
|              8 |         0.7552 |       00:00:01 |             12 |            90% |
|              9 |         0.4613 |       00:00:01 |             12 |            90% |
|             10 |         0.8351 |       00:00:01 |             12 |            90% |
|             11 |         0.9278 |       00:00:01 |             12 |            90% |
|             12 |         0.3608 |       00:00:01 |             12 |            90% |
|             13 |         0.8041 |       00:00:01 |             12 |            90% |
|             14 |         0.8918 |       00:00:01 |             12 |            90% |
|             15 |         0.5644 |       00:00:01 |             12 |            90% |
|             16 |         0.8428 |       00:00:01 |             12 |            90% |
|             17 |         0.2320 |       00:00:01 |             12 |            90% |
|             18 |         0.5773 |       00:00:01 |             12 |            90% |
|             19 |         0.4665 |       00:00:01 |             12 |            90% |
|             20 |         0.7629 |       00:00:01 |             12 |            90% |
|             21 |         0.5696 |       00:00:01 |             12 |            90% |
|             22 |         0.7577 |       00:00:01 |             12 |            90% |
|             23 |         0.7938 |       00:00:01 |             12 |            90% |
|             24 |         0.6314 |       00:00:01 |             12 |            90% |
|             25 |         0.9175 |       00:00:01 |             12 |            90% |
|             26 |         0.0155 |       00:00:01 |             12 |            90% |
|             27 |         0.2191 |       00:00:01 |             12 |            90% |
|             28 |         0.9330 |       00:00:01 |             12 |            90% |
|             29 |         0.9485 |       00:00:01 |             12 |            90% |
|             30 |         0.7268 |       00:00:01 |             12 |            90% |
|             31 |         0.9304 |       00:00:01 |             12 |            90% |
|             32 |         0.5799 |       00:00:01 |             12 |            90% |
|             33 |         0.8763 |       00:00:01 |             12 |            90% |
|             34 |         0.9124 |       00:00:01 |             12 |            90% |
|             35 |         0.6469 |       00:00:01 |             12 |            90% |
|             36 |         0.8299 |       00:00:01 |             12 |            90% |
|             37 |         0.4407 |       00:00:01 |             12 |            90% |
|             38 |         0.6289 |       00:00:01 |             12 |            90% |
|             39 |         0.8892 |       00:00:01 |             12 |            90% |
|             40 |         0.9356 |       00:00:01 |             12 |            90% |
|             41 |         0.1289 |       00:00:01 |             12 |            90% |
|             42 |         0.7706 |       00:00:01 |             12 |            90% |
|             43 |         0.8222 |       00:00:01 |             12 |            90% |
|             44 |         0.4923 |       00:00:01 |             12 |            90% |
|             45 |         0.0258 |       00:00:01 |             12 |            90% |
|             46 |         0.0567 |       00:00:01 |             12 |            90% |
|             47 |         0.9175 |       00:00:01 |             12 |            90% |
|             48 |         0.2990 |       00:00:01 |             12 |            90% |
|             49 |         0.9948 |       00:00:01 |             12 |            90% |
|             50 |         0.7088 |       00:00:01 |             12 |            90% |
|              1 |         0.6031 |       00:00:01 |             13 |            90% |
